0.585614,0.523173,0.507139,0.566154,0.495793,0.328677,0.346388,0.543257,0.663577,0.386377
0.592450,0.558080,0.344861,0.743432,0.295527,0.553198,0.357183,0.725804,0.651445,0.262984
0.782409,0.226056,0.220426,0.519549,0.216473,0.402498,0.316002,0.261208,0.786124,0.918299
0.841931,0.593135,0.233259,0.613497,0.582071,0.561666,0.272865,0.227723,0.404463,0.635959
0.248847,0.414205,0.639918,0.638686,0.270825,0.225265,0.291313,0.703258,0.714727,0.246295
0.509435,0.551847,0.454361,0.580783,0.230716,0.551554,0.678389,0.203333,0.663092,0.738780
0.675804,0.598754,0.685517,0.297073,0.352824,0.500537,0.656734,0.401731,0.467348,0.754139
0.540523,0.673989,0.646360,0.287590,0.674495,0.460142,0.628712,0.443250,0.843769,0.600950
0.413113,0.520361,0.356299,0.443517,0.568346,0.265696,0.544500,0.897774,0.431773,0.216287
0.593634,0.643619,0.478236,0.788429,0.513233,0.443654,0.790070,0.476463,0.217056,0.779738
0.457305,0.200357,0.638039,0.486348,0.256810,0.233771,0.390352,0.353717,0.570708,0.615064
0.471151,0.280686,0.303838,0.415656,0.223367,0.147886,0.564189,0.292675,0.630066,0.522646
0.340891,0.407461,0.205035,0.562446,0.625872,0.260472,0.229234,0.389600,0.790982,0.226739
0.584002,0.486911,0.441306,0.545596,0.750907,0.569599,0.259595,0.416097,0.291935,0.661989
0.573653,0.792434,0.461358,0.447824,0.596729,0.648048,0.656276,0.327827,0.941734,0.475446
0.380233,0.263397,0.736560,0.679951,0.232005,0.398908,0.346619,0.286513,0.395750,0.546310
0.774965,0.269259,0.577606,0.516744,0.115396,0.354793,0.507347,0.436573,0.240802,0.697602
0.425225,0.301848,0.445330,0.751670,0.662346,0.411499,0.847734,0.613330,0.232431,0.394126
0.799433,0.732962,0.464160,0.303641,0.339666,0.601898,0.724139,0.317879,0.399460,0.744635
0.712882,0.269921,0.307573,0.702695,0.153680,0.436149,0.604695,0.250004,0.186302,0.496777
0.632106,0.423139,0.476703,0.202970,0.110419,0.416000,0.807534,0.552799,0.371026,0.451799
0.442995,0.543482,0.637902,0.603977,0.176397,0.238346,0.599710,0.463839,0.255770,0.322785
0.515118,0.644341,0.254660,0.310359,0.254083,0.799824,0.630539,0.344457,0.502876,0.407413
0.396664,0.209655,0.741045,0.476136,0.434894,0.791016,0.477519,0.610917,0.502879,0.890401
0.280805,0.600819,0.570305,0.728591,0.263890,0.377005,0.625865,0.917742,0.765299,0.291181
0.696785,0.238611,0.747626,0.712610,0.680633,0.460237,0.817672,0.588896,0.483507,0.214558
0.503639,0.737961,0.301721,0.657613,0.378105,0.198815,0.361804,0.780920,0.468154,0.917174
0.636641,0.492688,0.342042,0.438761,0.244824,0.272091,0.731137,0.334133,0.668838,0.628801
0.555465,0.726937,0.666630,0.237347,0.381582,0.571835,0.825838,0.678936,0.667662,0.704442
0.416306,0.712699,0.520809,0.405997,0.192219,0.263935,0.308282,0.900107,0.575378,0.221528
0.770843,0.648387,0.439574,0.530694,0.634131,0.119535,0.575455,0.638916,0.473911,0.867445
0.701879,0.202105,0.301265,0.574603,0.495719,0.584292,0.268211,0.588934,0.284995,0.598000
0.569189,0.286011,0.285930,0.589915,0.423032,0.916583,0.777450,0.569076,0.309395,0.586183
0.586640,0.737056,0.601436,0.482497,0.299600,0.493034,0.771693,0.369540,0.189268,0.308664
0.621347,0.246510,0.311016,0.212439,0.627583,0.606775,0.450038,0.694822,0.203083,0.914049
0.405303,0.639445,0.786849,0.116626,0.206894,0.464738,0.469976,0.237562,0.414751,0.527956
0.401154,0.794606,0.615617,0.596370,0.608897,0.688098,0.698835,0.451229,0.863244,0.500781
